DATE,PRODUCT_LINE,REVENUE,COGS,FORECASTED_REVENUE
2023-01-08,Ferreteria,12402.91,748.81,1786.8
2023-01-08,Jugueteria,1591.38,3792.02,525.22
2023-01-08,Oficina,4035.39,226.35,8664.96
2023-01-09,Electrodomesticos,987.54,657.85,3260.46
2023-01-09,Ropa,8845.38,5613.25,117.83
2023-01-09,Ferreteria,3905.89,1719.51,8478.03
2023-01-09,Jugueteria,1197.99,2268.23,2178.88
2023-01-09,Oficina,4699.83,93.83,4098.76
2023-01-10,Electrodomesticos,746.39,185.62,3219.9
2023-01-10,Ropa,3247.66,77.54,4468.51
2023-01-10,Ferreteria,1630.16,3179.53,1065.84
2023-01-10,Jugueteria,7505.51,195.57,886.23
2023-01-10,Oficina,704.7,2559.61,3252.77
2023-01-11,Electrodomesticos,2839.72,1150.79,4840.03
2023-01-11,Ropa,1817.97,4291.58,4117.48
2023-01-11,Ferreteria,3962.6,1208.88,1140.26
2023-01-11,Jugueteria,2417.29,829.19,1532.4
2023-01-11,Oficina,6879.67,261.74,4663.08
2023-01-12,Electrodomesticos,118.31,412.74,1077.56
2023-01-12,Ropa,4778.6,798.77,6708.02
2023-01-12,Ferreteria,1246.17,2130.8,1644.04
2023-01-12,Jugueteria,1487.86,754.61,1154.44
2023-01-12,Oficina,7658.01,4453.86,6144.29
2023-01-13,Electrodomesticos,7673.86,2607.17,322.11
2023-01-13,Ropa,937.98,84.43,1063.18
2023-01-13,Ferreteria,4321.04,1793.98,1425.55
2023-01-13,Jugueteria,270.61,3902.43,6438.83
2023-01-13,Oficina,2476.96,892.2,4874.84
2023-01-14,Electrodomesticos,6007.65,2680.08,1547.49
2023-01-14,Ropa,732.69,1565.41,8771.98
2023-01-14,Ferreteria,2398.55,58.26,275.06
2023-01-14,Jugueteria,9644.64,3326.66,2896.12
2023-01-14,Oficina,472.44,1836.36,4527.47
2023-01-15,Electrodomesticos,34.58,135.64,2293.31
2023-01-15,Ropa,1691.08,1015.89,439.24
2023-01-15,Ferreteria,1082.92,533.63,1821.64
2023-01-15,Jugueteria,3035.33,3336.5,4051.73
2023-01-15,Oficina,4866.45,528.41,2346.21
2023-01-16,Electrodomesticos,592.11,2559.97,1890.29
2023-01-16,Ropa,819.02,711.58,343.9
2023-01-16,Ferreteria,1109.49,352.2,50.58
2023-01-16,Jugueteria,1477.68,1512.93,7390.17
2023-01-16,Oficina,6872.99,1076.75,286.14
2023-01-17,Electrodomesticos,2422,403.62,802.42
2023-01-17,Ropa,1000.23,750.21,2526.18
2023-01-17,Ferreteria,620.56,1138.82,4310.29
2023-01-17,Jugueteria,5864.2,1440.83,897.48
2023-01-17,Oficina,295.19,1280.33,2445.05
2023-01-18,Electrodomesticos,4071.53,613.43,2671.13
2023-01-18,Ropa,8295.55,5953.16,218.91
2023-01-18,Ferreteria,3492.11,204.07,2194.34
2023-01-18,Jugueteria,1757.86,754.42,126.69
2023-01-18,Oficina,709.15,3294.25,13920.09
2023-01-19,Electrodomesticos,1103.49,473.97,9277.21
2023-01-19,Ropa,2956.4,3597.71,2677.01
2023-01-19,Ferreteria,2525.99,1432.24,1728.12
2023-01-19,Jugueteria,6337.94,2183.4,3303.09
2023-01-19,Oficina,4857.75,1472.86,2454.77
2023-01-20,Electrodomesticos,5886.4,142.58,1730.37
2023-01-20,Ropa,8425.53,1361.3,9373.78
2023-01-20,Ferreteria,1124.11,6492.62,1936.15
2023-01-20,Jugueteria,1603.22,1854.2,5051.33
2023-01-20,Oficina,1660.86,699.04,637.05
2023-01-21,Electrodomesticos,5824.61,4054.85,2658.74
2023-01-21,Ropa,7817.68,639.35,2372.3
2023-01-21,Ferreteria,2394.15,1550.55,3117.82
2023-01-21,Jugueteria,139.27,1303.78,3969.85
2023-01-21,Oficina,3610.47,3962.45,6877.62
2023-01-22,Electrodomesticos,786.67,3708.1,1053.03
2023-01-22,Ropa,6077.99,241.4,1936.28
2023-01-22,Ferreteria,4673.1,135.01,237.27
2023-01-22,Jugueteria,4196.99,2500.04,3943.57
2023-01-22,Oficina,2256.84,3546.6,10999.55
2023-01-23,Electrodomesticos,1333.55,1835.83,1340.67
2023-01-23,Ropa,2515.04,3172.31,9478.16
2023-01-23,Ferreteria,5335.66,195.54,2420.88
2023-01-23,Jugueteria,328.04,670.9,630.61
2023-01-23,Oficina,5102.5,437.3,2003.74
2023-01-24,Electrodomesticos,169.25,3197.09,5104
2023-01-24,Ropa,6822.14,765.44,5481.91
2023-01-24,Ferreteria,6632.5,214.64,5076.28
2023-01-24,Jugueteria,210.7,1251.55,1050.22
2023-01-24,Oficina,3970.7,3932.94,1166.81
2023-01-25,Electrodomesticos,2318.22,1256.53,588.44
2023-01-25,Ropa,618.06,585.05,2811.64
2023-01-25,Ferreteria,533.39,2611.78,1473.14
2023-01-25,Jugueteria,4928.08,471.09,2368.74
2023-01-25,Oficina,2784.99,439.77,3420.13
2023-01-26,Electrodomesticos,4193.95,1892.96,5027.33
2023-01-26,Ropa,4149.43,1500.09,3857.25
2023-01-26,Ferreteria,5059.47,1361.82,3118.49
2023-01-26,Jugueteria,129.96,390.53,4652.9
2023-01-26,Oficina,2866.4,1619.97,981.05
2023-01-27,Electrodomesticos,950.76,260.88,1879.74
2023-01-27,Ropa,2077.6,433.29,2969.71
2023-01-27,Ferreteria,4801.34,1151.06,2037.28
2023-01-27,Jugueteria,771.81,2404.07,2100.75
2023-01-27,Oficina,2832.02,1293.75,2153.17
2023-01-28,Electrodomesticos,4504.87,1211.29,356.9
2023-01-28,Ropa,2424.5,2093.14,10117.47
2023-01-28,Ferreteria,2715.82,3195.23,1978.09
2023-01-28,Jugueteria,9699.26,1245.17,1009.45
2023-01-28,Oficina,102.24,1039.96,4045.49
2023-01-29,Electrodomesticos,3640.22,241.75,1380.7
2023-01-29,Ropa,7181.52,2217.36,7994.18
2023-01-29,Ferreteria,3380.35,3033.42,2205.38
2023-01-29,Jugueteria,590.33,633.29,724.4
2023-01-29,Oficina,426.06,2545.79,2145.85
2023-01-30,Electrodomesticos,813.44,1104.64,4014.94
2023-01-30,Ropa,463.02,1797.22,1150.79
2023-01-30,Ferreteria,8374.54,621.29,6608.11
2023-01-30,Jugueteria,409.27,1614.06,465.07
2023-01-30,Oficina,4086.35,615.67,1393.43
2023-01-31,Electrodomesticos,1726.42,173.17,1555.27
2023-01-31,Ropa,1648.46,1490.12,1003.08
2023-01-31,Ferreteria,1404.4,1128.57,1743.4
2023-01-31,Jugueteria,6981.08,543.16,9126.31
2023-01-31,Oficina,885.2,4148.58,124.88
2023-02-01,Electrodomesticos,3994.38,1141.32,5779.29
2023-02-01,Ropa,2087.22,94.38,6907.51
2023-02-01,Ferreteria,1297.07,1138.57,1346.77
2023-02-01,Jugueteria,8014.38,1306.58,1196.54
2023-02-01,Oficina,2349.29,4677.1,2364.98
2023-02-02,Electrodomesticos,314.97,2528.09,1895.46
2023-02-02,Ropa,1344.73,351.33,2684
2023-02-02,Ferreteria,3785.05,2876.37,900.07
2023-02-02,Jugueteria,2944.12,448.69,2577.66
2023-02-02,Oficina,6172.63,658.96,6342.93
2023-02-03,Electrodomesticos,748.67,111.69,5251.03
2023-02-03,Ropa,3539.66,79.57,2690.67
2023-02-03,Ferreteria,1535.82,1595.85,832.15
2023-02-03,Jugueteria,2125.37,3588.72,5057.4
2023-02-03,Oficina,7734.82,949.13,1338.96
2023-02-04,Electrodomesticos,4156.05,829.38,640.17
2023-02-04,Ropa,2119.9,704.51,350.92
2023-02-04,Ferreteria,476.9,487.62,7917.32
2023-02-04,Jugueteria,2343.99,1707.93,223.56
2023-02-04,Oficina,1091.06,723.14,1831.59
2023-02-05,Electrodomesticos,2110.32,684.56,998.9
2023-02-05,Ropa,136.65,3314.4,8964.62
2023-02-05,Ferreteria,5519.67,2513.14,956.68
2023-02-05,Jugueteria,2618.12,1086.42,5897.86
2023-02-05,Oficina,5791.59,170.21,798.08
2023-02-06,Electrodomesticos,3882.69,241.04,5842.45
2023-02-06,Ropa,4444.26,1594.34,2285.88
2023-02-06,Ferreteria,1007.3,285.42,1126.21
2023-02-06,Jugueteria,4544.7,6140.69,6893.41
2023-02-06,Oficina,2242.01,1183.11,1558.96
2023-02-07,Electrodomesticos,4627.09,723.62,2466.95
2023-02-07,Ropa,8113.73,942.74,902.55
2023-02-07,Ferreteria,155.81,1053.04,6499.74
2023-02-07,Jugueteria,778.94,3873.64,4617.82
2023-02-07,Oficina,2493.77,196.84,1283.68
2023-02-08,Electrodomesticos,15586.16,845.88,3793.2
2023-02-08,Ropa,575.89,3289.02,3283.09
2023-02-08,Ferreteria,1535.55,729.51,9031.79
2023-02-08,Jugueteria,200.48,5453.7,638.86
2023-02-08,Oficina,1539.4,1131.74,4502.69
2023-02-09,Electrodomesticos,1140.75,598.28,4398.36
2023-02-09,Ropa,8667.27,146.34,3200.52
2023-02-09,Ferreteria,5510.64,2715.34,5627.56
2023-02-09,Jugueteria,1425.44,5232.45,4502.64
2023-02-09,Oficina,74.1,959.52,70.9
2023-02-10,Electrodomesticos,2788.47,2939.65,1517.88
2023-02-10,Ropa,1694.35,1670.09,1038.97
2023-02-10,Ferreteria,259.24,74.52,807.27
2023-02-10,Jugueteria,8687.38,1001.44,8782.11
2023-02-10,Oficina,165.64,987.21,1926.55
2023-02-11,Electrodomesticos,5126.96,1037.11,1338.73
2023-02-11,Ropa,885.33,1868.09,3524.45
2023-02-11,Ferreteria,1451.91,2811.67,463.4
2023-02-11,Jugueteria,4031.35,226,6332.5
2023-02-11,Oficina,2874.77,744.22,1978.04
2023-02-12,Electrodomesticos,6309.83,340.41,929.59
2023-02-12,Ropa,2204.21,906.1,890.67
2023-02-12,Ferreteria,233.76,2614.47,77.12
2023-02-12,Jugueteria,4899.19,3381.98,7560.66
2023-02-12,Oficina,3329.32,337.79,6555.57
2023-02-13,Electrodomesticos,3553.34,929.02,1723.38
2023-02-13,Ropa,157.72,740.32,948.45
2023-02-13,Ferreteria,1440.79,1475.25,1290.48
2023-02-13,Jugueteria,523.27,2310.67,5596.02
2023-02-13,Oficina,4927.13,88.58,335.8
2023-02-14,Electrodomesticos,1500.15,135,481.7
2023-02-14,Ropa,2670.3,2580.82,3900.28
2023-02-14,Ferreteria,4228.26,283.97,11803.8
2023-02-14,Jugueteria,1854.48,347.27,123.79
2023-02-14,Oficina,6414.48,3430.26,1767.37
2023-02-15,Electrodomesticos,5044.64,2379.68,2556.21
2023-02-15,Ropa,200.09,326.29,1269.31
2023-02-15,Ferreteria,75.91,1571.15,6340.71
2023-02-15,Jugueteria,2214.28,1666.26,5160.99
2023-02-15,Oficina,9171.46,791.32,691.11
2023-02-16,Electrodomesticos,3117.16,1489.88,961.37
2023-02-16,Ropa,5021.42,1530.43,5072.98
2023-02-16,Ferreteria,104.38,639.77,1754.54
2023-02-16,Jugueteria,70.68,1721.31,935.49
2023-02-16,Oficina,3790.19,498.15,3265.9
2023-02-17,Electrodomesticos,601.46,145.6,4682.3
2023-02-17,Ropa,1349.34,396.54,2028.47
2023-02-17,Ferreteria,6681.14,910.82,475.79
2023-02-17,Jugueteria,845.51,723.15,3100.23
2023-02-17,Oficina,1811.81,2493.3,988.83
2023-02-18,Electrodomesticos,2034.66,3671.57,3371.64
2023-02-18,Ropa,5806.05,537.99,1875.82
2023-02-18,Ferreteria,2979.46,620.8,7962.37
2023-02-18,Jugueteria,1077.06,344.95,199.42
2023-02-18,Oficina,1257.05,749.22,476.86
2023-02-19,Electrodomesticos,632.15,875.52,1515.51
2023-02-19,Ropa,1609.54,1750.61,1749.23
2023-02-19,Ferreteria,2572.52,2155.26,1880.16
2023-02-19,Jugueteria,6314.35,490.9,1161.82
2023-02-19,Oficina,2508.55,785.75,8269.26
2023-02-20,Electrodomesticos,6170.62,3105.29,809.78
2023-02-20,Ropa,751.39,701.22,883.42
2023-02-20,Ferreteria,1902.49,1697.47,723.54
2023-02-20,Jugueteria,2168.7,358.53,1673.7
2023-02-20,Oficina,4708.77,1213.4,10478.07
2023-02-21,Electrodomesticos,1372.88,538.59,4099.14
2023-02-21,Ropa,1414.22,1759.1,3169.29
2023-02-21,Ferreteria,1721.39,1432.75,637.52
2023-02-21,Jugueteria,6505.14,1609.38,3899.46
2023-02-21,Oficina,3372.39,791.66,2370.29
2023-02-22,Electrodomesticos,479.44,351.35,12855.29
2023-02-22,Ropa,499.14,774.86,1057.13
2023-02-22,Ferreteria,2843.02,658.05,1385.32
2023-02-22,Jugueteria,8913.29,3184.42,2915.43
2023-02-22,Oficina,7148.85,3032.68,3034.02
2023-02-23,Electrodomesticos,2945.48,2143.7,4365.59
2023-02-23,Ropa,3487.9,233.79,3652.27
2023-02-23,Ferreteria,809.96,2038.95,2014.65
2023-02-23,Jugueteria,1901.47,201.51,793.74
2023-02-23,Oficina,1875.64,44.77,895.17
2023-02-24,Electrodomesticos,2177.68,498.17,1772.85
2023-02-24,Ropa,5087.2,315.26,2661.31
2023-02-24,Ferreteria,527.11,1034.62,957.88
2023-02-24,Jugueteria,2551.08,3024.88,1408.08
2023-02-24,Oficina,1745.7,1457.91,4327.38
2023-02-25,Electrodomesticos,1853.46,1387.48,4916.53
2023-02-25,Ropa,3183.76,2867.47,3593.61
2023-02-25,Ferreteria,6155.59,956.57,346.22
2023-02-25,Jugueteria,79.81,820.27,907.2
2023-02-25,Oficina,340.48,876.27,1051.44
2023-02-26,Electrodomesticos,8352.61,3606.75,5466.8
2023-02-26,Ropa,517.75,882.06,640.93
2023-02-26,Ferreteria,4294.89,2848.79,164.82
2023-02-26,Jugueteria,1468.95,1896.86,2503.07
2023-02-26,Oficina,1896.88,652.27,7108.1
2023-02-27,Electrodomesticos,3302.32,31.5,2436.36
2023-02-27,Ropa,83.66,538.71,3243.99
2023-02-27,Ferreteria,5638.14,2752.6,2456.62
2023-02-27,Jugueteria,1604.18,1981.71,1958.77
2023-02-27,Oficina,1904.62,733.97,1372.78
2023-02-28,Electrodomesticos,4176.62,1249.16,1106.61
2023-02-28,Ropa,5577.74,2372.91,3978.28
2023-02-28,Ferreteria,2274.29,298.03,4790.98
2023-02-28,Jugueteria,573.23,1241.34,625.17
2023-02-28,Oficina,2061.23,1181.69,3941.13
2023-03-01,Electrodomesticos,289.1,1473.31,897.22
2023-03-01,Ropa,1275.51,1389.99,6908.64
2023-03-01,Ferreteria,601.09,863.48,1509.61
2023-03-01,Jugueteria,4980.73,2709.62,1105.28
2023-03-01,Oficina,5297.83,131.09,1046.92
2023-03-02,Electrodomesticos,1146.38,62.06,6371.08
2023-03-02,Ropa,1138.2,935.01,2400.33
2023-03-02,Ferreteria,5004.27,3893.33,758.12
2023-03-02,Jugueteria,2585.33,557.63,195.21
2023-03-02,Oficina,1715.52,324.35,2023.08
2023-03-03,Electrodomesticos,656.27,3571.57,397.43
2023-03-03,Ropa,793.53,249.76,3828.67
2023-03-03,Ferreteria,391.95,636.96,1741.44
2023-03-03,Jugueteria,1164.65,1770.46,3293.52
2023-03-03,Oficina,8097.35,409.98,1279.86
2023-03-04,Electrodomesticos,7138.72,374.84,3448.44
2023-03-04,Ropa,369.71,727.57,3283.98
2023-03-04,Ferreteria,74.88,2221.95,2345.55
2023-03-04,Jugueteria,6718.75,3471.66,5319.2
2023-03-04,Oficina,2261.24,45.63,2485.58
2023-03-05,Electrodomesticos,905.63,169.51,1765.77
2023-03-05,Ropa,4539.9,2991.43,753.24
2023-03-05,Ferreteria,4189.85,843.96,5485.48
2023-03-05,Jugueteria,527.89,753.04,1489.58
2023-03-05,Oficina,1218.56,1577.72,1017.11
2023-03-06,Electrodomesticos,409.42,33.57,4377.62
2023-03-06,Ropa,1556.48,11.53,880.66
2023-03-06,Ferreteria,937.78,2834.36,1728.67
2023-03-06,Jugueteria,1418.9,1458.89,2055.33
2023-03-06,Oficina,7643.24,1138.16,4062.41
2023-03-07,Electrodomesticos,669.58,164.64,3999.6
2023-03-07,Ropa,1416.86,629.81,1138.74
2023-03-07,Ferreteria,1900.22,2693.98,490.77
2023-03-07,Jugueteria,5019.76,2638.3,2755.39
2023-03-07,Oficina,4680.83,9.04,6486.87
2023-03-08,Electrodomesticos,463.9,1391.9,2913.74
2023-03-08,Ropa,2187.43,6.24,3473.94
2023-03-08,Ferreteria,9808.89,4141.05,1836.27
2023-03-08,Jugueteria,1202.9,537.8,8900.22
2023-03-08,Oficina,4546.81,3619.82,691.69
2023-03-09,Electrodomesticos,2548.53,830.61,141.9
2023-03-09,Ropa,569.11,628.64,7596.93
2023-03-09,Ferreteria,2651.27,688.85,866.97
2023-03-09,Jugueteria,1771.48,2376.69,600.62
2023-03-09,Oficina,3430.62,403.53,1198.88
2023-03-10,Electrodomesticos,2523.1,1786.45,10855.65
2023-03-10,Ropa,1457.37,799.43,398.43
2023-03-10,Ferreteria,6450.3,3136.52,2948.35
2023-03-10,Jugueteria,5094.48,3893.67,787.83
2023-03-10,Oficina,2854.2,183.33,2471.68
2023-03-11,Electrodomesticos,2565.81,1839.61,1472.7
2023-03-11,Ropa,538.55,28.11,7657.78
2023-03-11,Ferreteria,1929.37,16.67,142.07
2023-03-11,Jugueteria,4648.36,1698.85,2.55
2023-03-11,Oficina,1278.89,1935.2,1649.48
2023-03-12,Electrodomesticos,346.82,348.34,3327.29
2023-03-12,Ropa,7533.16,1277.48,4644.06
2023-03-12,Ferreteria,3899.8,1490.18,5539.98
2023-03-12,Jugueteria,3017.32,4304.15,2690.86
2023-03-12,Oficina,4967.49,2162.08,1744.03
2023-03-13,Electrodomesticos,3586.04,1905.26,4164.19
2023-03-13,Ropa,1311.9,848.92,1353.56
2023-03-13,Ferreteria,4230.43,1336.86,2754.89
2023-03-13,Jugueteria,4928.93,1700.42,6336.18
2023-03-13,Oficina,629.21,1712.43,488.05
2023-03-14,Electrodomesticos,3304.91,14.24,30.67
2023-03-14,Ropa,2642.21,861.27,1017.17
2023-03-14,Ferreteria,2728.04,3698.64,5473.93
2023-03-14,Jugueteria,9805.89,516.72,2867.83
2023-03-14,Oficina,1286.56,3951.04,10015.48
2023-03-15,Electrodomesticos,6448.55,590.07,2324.98
2023-03-15,Ropa,3655.07,3022.89,904.89
2023-03-15,Ferreteria,965.34,1000.81,4252.66
2023-03-15,Jugueteria,2674.7,1464.87,3138.75
2023-03-15,Oficina,2304.8,2608.63,5033.69
2023-03-16,Electrodomesticos,4190.82,995.34,8299.12
2023-03-16,Ropa,1425.76,3.35,4526.5
2023-03-16,Ferreteria,809.09,572.92,2442.14
2023-03-16,Jugueteria,4118.39,2869.98,430.58
2023-03-16,Oficina,6848.58,3958.56,2770.43
2023-03-17,Electrodomesticos,39.58,437.79,220.03
2023-03-17,Ropa,2486.61,351.89,2611.71
2023-03-17,Ferreteria,1412.93,2611.63,1188.98
2023-03-17,Jugueteria,5515.98,437.11,5650.25
2023-03-17,Oficina,936.78,1067.68,1155.36
2023-03-18,Electrodomesticos,1816.33,512.42,197.66
2023-03-18,Ropa,2043.27,160.53,4247.32
2023-03-18,Ferreteria,427.61,1083.66,144.08
2023-03-18,Jugueteria,3526.07,3998.87,3235.1
2023-03-18,Oficina,5014.79,1501.76,6169.55
2023-03-19,Electrodomesticos,142.82,379.03,299.37
2023-03-19,Ropa,824.64,1856.06,2167.08
2023-03-19,Ferreteria,92.86,2366.61,1587.83
2023-03-19,Jugueteria,7507.87,625.85,4235.24
2023-03-19,Oficina,2633.78,1325.53,2580.72
2023-03-20,Electrodomesticos,6525.81,664.54,816.24
2023-03-20,Ropa,1485.94,101.39,3.68
2023-03-20,Ferreteria,3174.57,1930.03,1650.61
2023-03-20,Jugueteria,919.28,348.13,5620.08
2023-03-20,Oficina,855.8,2259.73,5901.33
2023-03-21,Electrodomesticos,633.67,786.75,280.65
2023-03-21,Ropa,1430.08,2474.85,4131.83
2023-03-21,Ferreteria,593.92,678.76,73.45
2023-03-21,Jugueteria,3075.07,38.3,203.13
2023-03-21,Oficina,5454.54,1016.74,7102.26
2023-03-22,Electrodomesticos,610.66,660.75,4963.82
2023-03-22,Ropa,4253.1,722.13,744.71
2023-03-22,Ferreteria,2353.09,2785.57,6448.9
2023-03-22,Jugueteria,855.5,1292.57,479.15
2023-03-22,Oficina,5107.48,729.6,167.43
2023-03-23,Electrodomesticos,1397.38,4618.4,4624.18
2023-03-23,Ropa,4281.58,994.66,1329.86
2023-03-23,Ferreteria,591.99,406.83,5451.88
2023-03-23,Jugueteria,1607.67,1227.44,2284.25
2023-03-23,Oficina,6264.01,714.88,796.59
2023-03-24,Electrodomesticos,1406.43,2258.95,8267.2
2023-03-24,Ropa,2045.1,2405.56,571.48
2023-03-24,Ferreteria,1023.55,485.55,127.13
2023-03-24,Jugueteria,5030.84,876.32,649.54
2023-03-24,Oficina,1135.55,327.63,576.14
2023-03-25,Electrodomesticos,247.61,1207.19,2210.84
2023-03-25,Ropa,1172.89,5970.58,2728.42
2023-03-25,Ferreteria,2758.12,2190.02,10152.68
2023-03-25,Jugueteria,4888.19,559.18,382.66
2023-03-25,Oficina,7857.91,122.83,2717.44
2023-03-26,Electrodomesticos,1100.06,5846.12,282.69
2023-03-26,Ropa,2555.83,848.33,10396.88
2023-03-26,Ferreteria,3220.45,596.81,401.21
2023-03-26,Jugueteria,787.84,653.57,1682.94
2023-03-26,Oficina,8001.83,1156.96,1687.95
2023-03-27,Electrodomesticos,1947.58,2038.21,3112.76
2023-03-27,Ropa,3952.61,2799.65,650.73
2023-03-27,Ferreteria,1507.41,227.88,2742.08
2023-03-27,Jugueteria,2512.86,281.02,54.68
2023-03-27,Oficina,2733.43,465.32,5365.88
2023-03-28,Electrodomesticos,5602.94,24.28,609.93
2023-03-28,Ropa,382.17,567.53,3837.11
2023-03-28,Ferreteria,1916.58,8120.75,1114.92
2023-03-28,Jugueteria,1311.86,88.23,2691.69
2023-03-28,Oficina,6018.93,314.36,6013.19
2023-03-29,Electrodomesticos,173.63,925.2,375.42
2023-03-29,Ropa,6332.68,2228.47,833.47
2023-03-29,Ferreteria,3257.29,530.84,2776.84
2023-03-29,Jugueteria,119.93,619.08,4546.46
2023-03-29,Oficina,1055.88,617.87,2195.05
2023-03-30,Electrodomesticos,2864.7,974.76,2919.19
2023-03-30,Ropa,3036.23,121.26,457.85
2023-03-30,Ferreteria,5369.47,390.98,624.92
2023-03-30,Jugueteria,3645.23,4533.84,12520.08
2023-03-30,Oficina,843.83,616.75,10.37
2023-03-31,Electrodomesticos,4558.22,703.5,3564.51
2023-03-31,Ropa,7992.76,2488.18,7597.53
2023-03-31,Ferreteria,984.32,5280.13,1268.1
2023-03-31,Jugueteria,1424.63,802.44,3311.18
2023-03-31,Oficina,4333.03,2112.27,3655.47
2023-04-01,Electrodomesticos,843.05,125.99,620.29
2023-04-01,Ropa,4723.95,3606.49,4338.82
2023-04-01,Ferreteria,2100.8,161.75,5330.91
2023-04-01,Jugueteria,1020.53,745.85,2845.33
2023-04-01,Oficina,4497.36,1249.76,17.84
2023-04-02,Electrodomesticos,2571.75,710.57,5681.02
2023-04-02,Ropa,10087.77,2433.34,1513.51
2023-04-02,Ferreteria,2957.63,1877.48,1781.42
2023-04-02,Jugueteria,842.3,2933.19,1163.89
2023-04-02,Oficina,214.65,1015.32,4868.67
2023-04-03,Electrodomesticos,2569.38,597.34,1248.27
2023-04-03,Ropa,86.2,1264.94,453.7
2023-04-03,Ferreteria,603.25,1258.97,5689.36
2023-04-03,Jugueteria,3528.9,947.48,576.62
2023-04-03,Oficina,4530.25,590.56,3181.17
2023-04-04,Electrodomesticos,4686.23,2207.95,104.61
2023-04-04,Ropa,5343.94,179.4,848.18
2023-04-04,Ferreteria,198.68,1258.07,7148.96
2023-04-04,Jugueteria,3309.12,3882.85,3216.85
2023-04-04,Oficina,3625.3,1845.31,4346.5
2023-04-05,Electrodomesticos,3043.53,4880.04,1714.55
2023-04-05,Ropa,520.32,522.12,1750.84
2023-04-05,Ferreteria,1903.33,173.88,410.11
2023-04-05,Jugueteria,3244.69,1691.68,573.95
2023-04-05,Oficina,4182.19,163.7,7692.25
2023-04-06,Electrodomesticos,3553.32,1409.52,2517.62
2023-04-06,Ropa,5094.45,274.45,2631.66
2023-04-06,Ferreteria,1519.28,715.75,4516.69
2023-04-06,Jugueteria,1585.8,1542.83,58.55
2023-04-06,Oficina,79.06,1434.91,3130.6
2023-04-07,Electrodomesticos,159.69,894.19,5612.56
2023-04-07,Ropa,1140.86,4859.5,1399.65
2023-04-07,Ferreteria,5157.86,898.5,1378.83
2023-04-07,Jugueteria,3786.87,426.56,1564.95
2023-04-07,Oficina,5619.85,470.06,5006.09
2023-04-08,Electrodomesticos,1379.2,2302.71,1391.95
2023-04-08,Ropa,1828.17,972.16,2033.74
2023-04-08,Ferreteria,1199.49,917.99,1872.06
2023-04-08,Jugueteria,3637.48,35.02,77.16
2023-04-08,Oficina,2156.74,616.19,5557.25
2023-04-09,Electrodomesticos,1908.73,3944.14,4504.2
2023-04-09,Ropa,1916.27,3259.55,3191.1
2023-04-09,Ferreteria,75.32,2749.36,169.99
2023-04-09,Jugueteria,14084.34,46.88,9200.54
2023-04-09,Oficina,304.74,54.81,2331.52
2023-04-10,Electrodomesticos,3510.63,395.08,3391.53
2023-04-10,Ropa,4479.27,681.04,759.17
2023-04-10,Ferreteria,1215.58,2546.12,1206.16
2023-04-10,Jugueteria,570.74,514.01,3139.93
2023-04-10,Oficina,270.73,360.38,865.26
2023-04-11,Electrodomesticos,3951.53,908.24,773.73
2023-04-11,Ropa,1724.79,2640.58,2164.21
2023-04-11,Ferreteria,3579.59,1439.46,1879.42
2023-04-11,Jugueteria,7068.63,2083.89,5132.08
