DATE,SALES_REGION,REVENUE,COGS,FORECASTED_REVENUE
2023-01-28,Zona Occidente,4491.72,610.89,7772.1
2023-01-28,Zona Llanos,7013.72,6.78,1917.06
2023-01-28,Zona Sur,279.85,1688.21,592.89
2023-01-28,Zona Oriente,1899.12,6295.15,5244.59
2023-01-29,Zona Norte,3485.01,1381.25,5264.36
2023-01-29,Zona Occidente,1211.51,2950.96,514.37
2023-01-29,Zona Llanos,1042.62,310.77,4151.2
2023-01-29,Zona Sur,4917.03,1822.07,2987.34
2023-01-29,Zona Oriente,4562.31,2206.56,1533.24
2023-01-30,Zona Norte,3434.03,741.71,881.43
2023-01-30,Zona Occidente,2482.56,213.54,1247.88
2023-01-30,Zona Llanos,7760.3,2384.89,10605.89
2023-01-30,Zona Sur,53.48,1296.68,151.38
2023-01-30,Zona Oriente,416.25,1116.06,745.76
2023-01-31,Zona Norte,1479.52,2992.71,3296.81
2023-01-31,Zona Occidente,791.33,1119.88,5182.15
2023-01-31,Zona Llanos,834.01,576.42,2384.79
2023-01-31,Zona Sur,9432.07,2275.92,1241.25
2023-01-31,Zona Oriente,108.63,518.67,1447.94
2023-02-01,Zona Norte,129.55,774.34,2434.23
2023-02-01,Zona Occidente,13505.75,560.65,2898.32
2023-02-01,Zona Llanos,861.32,261.33,8166.19
2023-02-01,Zona Sur,216.87,3873.03,2823.54
2023-02-01,Zona Oriente,3028.85,2888.6,1272.81
2023-02-02,Zona Norte,4132.47,524.58,1604.27
2023-02-02,Zona Occidente,706.84,1401.38,4355.52
2023-02-02,Zona Llanos,5207.71,3528.63,7383.3
2023-02-02,Zona Sur,3877.85,681.54,705.87
2023-02-02,Zona Oriente,636.63,727.31,351.16
2023-02-03,Zona Norte,2525.95,1755.66,1436.7
2023-02-03,Zona Occidente,11370.73,722.78,3076.15
2023-02-03,Zona Llanos,581.33,664.53,6227.46
2023-02-03,Zona Sur,282.29,1562.52,52
2023-02-03,Zona Oriente,924.04,1619.47,4377.9
2023-02-04,Zona Norte,1351.87,378.55,1538.42
2023-02-04,Zona Occidente,1045.29,967.79,1826.07
2023-02-04,Zona Llanos,170.38,1633.03,2541.34
2023-02-04,Zona Sur,6686.24,1296.81,2758.1
2023-02-04,Zona Oriente,934.12,176.4,2299.63
2023-02-05,Zona Norte,2374.87,2138.29,225.38
2023-02-05,Zona Occidente,501.31,7.12,427.2
2023-02-05,Zona Llanos,1777.97,1037.06,1675.79
2023-02-05,Zona Sur,1979.89,1285.27,1204.36
2023-02-05,Zona Oriente,9542.31,3300.99,14083.41
2023-02-06,Zona Norte,3961.72,2435.36,6021.9
2023-02-06,Zona Occidente,7671.39,1454.23,3586.47
2023-02-06,Zona Llanos,2177.5,1713.99,3255.83
2023-02-06,Zona Sur,601.58,3080.11,210.39
2023-02-06,Zona Oriente,1708.77,760.91,4632.32
2023-02-07,Zona Norte,2833.05,1064.9,2746.64
2023-02-07,Zona Occidente,2451.26,1500.26,2390.92
2023-02-07,Zona Llanos,7129.13,1816.52,4793.06
2023-02-07,Zona Sur,2823,1233.35,5035.22
2023-02-07,Zona Oriente,932.9,1174.85,804.9
2023-02-08,Zona Norte,8106.11,3602.4,1857.28
2023-02-08,Zona Occidente,508.01,4324.91,9806.25
2023-02-08,Zona Llanos,1720.48,914.55,3654.51
2023-02-08,Zona Sur,5812.4,1473.87,5518.61
2023-02-08,Zona Oriente,3290.48,1134.12,412.98
2023-02-09,Zona Norte,3222.48,3042.23,1348.51
2023-02-09,Zona Occidente,4894.25,420.53,6977.23
2023-02-09,Zona Llanos,2421,390.27,2854.19
2023-02-09,Zona Sur,2125.17,5760.75,4197.8
2023-02-09,Zona Oriente,4155.3,38.15,2422.25
2023-02-10,Zona Norte,1957.04,1456.5,1790.81
2023-02-10,Zona Occidente,4061.61,2089.6,7196.86
2023-02-10,Zona Llanos,2653.9,1618.74,1369.53
2023-02-10,Zona Sur,4742.06,199.49,3179.81
2023-02-10,Zona Oriente,180.47,1308.58,535.77
2023-02-11,Zona Norte,9281.66,292.91,413.61
2023-02-11,Zona Occidente,455.58,1378.59,769.47
2023-02-11,Zona Llanos,171.95,2363.87,1611.52
2023-02-11,Zona Sur,2179.8,1033.37,2374.72
2023-02-11,Zona Oriente,2281.33,1618.35,8467.8
2023-02-12,Zona Norte,8276.05,3402.85,3561.12
2023-02-12,Zona Occidente,3349.04,430.63,4080.22
2023-02-12,Zona Llanos,1132.9,222.93,1927.44
2023-02-12,Zona Sur,2082.29,2759.32,4391.85
2023-02-12,Zona Oriente,2136.03,765.02,2052.98
2023-02-13,Zona Norte,3636.69,586.74,4046.49
2023-02-13,Zona Occidente,2182.39,2625.95,3315.49
2023-02-13,Zona Llanos,1225.18,266.66,1589.94
2023-02-13,Zona Sur,2869.33,1361.87,377.16
2023-02-13,Zona Oriente,688.66,702.62,565.05
2023-02-14,Zona Norte,2728.74,1162.34,3288.9
2023-02-14,Zona Occidente,471.56,631.26,291.89
2023-02-14,Zona Llanos,10748.08,480.6,2319.91
2023-02-14,Zona Sur,467.25,154.37,8816.75
2023-02-14,Zona Oriente,2252.04,4348.75,3359.49
2023-02-15,Zona Norte,4043.79,3344.87,7246.61
2023-02-15,Zona Occidente,1275.41,1563.22,654.73
2023-02-15,Zona Llanos,382.4,1748.57,2024.07
2023-02-15,Zona Sur,7696.04,0.65,5263.94
2023-02-15,Zona Oriente,3308.74,77.39,828.98
2023-02-16,Zona Norte,363.35,1742.98,1190.62
2023-02-16,Zona Occidente,1346.73,49.99,2932.52
2023-02-16,Zona Llanos,5289.21,1562.23,628.3
2023-02-16,Zona Sur,1140.47,1321.51,14.04
2023-02-16,Zona Oriente,3964.07,1202.83,7224.8
2023-02-17,Zona Norte,359.98,466.61,2307.26
2023-02-17,Zona Occidente,2217,253.18,513.38
2023-02-17,Zona Llanos,1503.93,2134.4,5897.46
2023-02-17,Zona Sur,6923.2,1433.66,1740.71
2023-02-17,Zona Oriente,285.15,381.56,816.81
2023-02-18,Zona Norte,2030.44,382.97,211.95
2023-02-18,Zona Occidente,1002.57,530.79,2009.93
2023-02-18,Zona Llanos,2545.65,28.03,8403.32
2023-02-18,Zona Sur,609.81,4086,836.03
2023-02-18,Zona Oriente,6965.81,896.74,2424.88
2023-02-19,Zona Norte,1367.17,1003.66,6988.85
2023-02-19,Zona Occidente,1341.35,1127.87,3595.64
2023-02-19,Zona Llanos,3662.39,2377.46,330.17
2023-02-19,Zona Sur,5649.73,1440.72,3465.86
2023-02-19,Zona Oriente,1616.47,108.33,195.46
2023-02-20,Zona Norte,4052.43,861.68,5458.64
2023-02-20,Zona Occidente,426.91,1109.11,945.06
2023-02-20,Zona Llanos,799.06,2305.76,1553.62
2023-02-20,Zona Sur,3243.71,2789.94,5071.23
2023-02-20,Zona Oriente,7179.86,9.42,1539.96
2023-02-21,Zona Norte,436.74,1633.26,668.1
2023-02-21,Zona Occidente,505.58,54.02,10697.83
2023-02-21,Zona Llanos,12954.96,3228.33,735.37
2023-02-21,Zona Sur,335.15,491.05,484.4
2023-02-21,Zona Oriente,153.59,724.82,1590
2023-02-22,Zona Norte,5464.45,428.61,1465.95
2023-02-22,Zona Occidente,1830.21,3270.04,9732.24
2023-02-22,Zona Llanos,2544.32,578.05,2074.48
2023-02-22,Zona Sur,6928.53,2190.44,4210.5
2023-02-22,Zona Oriente,3116.23,1534.22,3764.02
2023-02-23,Zona Norte,5785.9,1632.63,792.78
2023-02-23,Zona Occidente,275.6,181.16,119.53
2023-02-23,Zona Llanos,2132.54,598.7,196.49
2023-02-23,Zona Sur,2214.14,1474.8,7583.94
2023-02-23,Zona Oriente,612.27,775.43,3028.68
2023-02-24,Zona Norte,9951.93,16.71,515.1
2023-02-24,Zona Occidente,558.03,396.32,2171.62
2023-02-24,Zona Llanos,160.29,1562.67,2794.3
2023-02-24,Zona Sur,1405.93,1281.58,3119.52
2023-02-24,Zona Oriente,12.59,3073.56,2526.96
2023-02-25,Zona Norte,2118.69,2182.73,513.1
2023-02-25,Zona Occidente,5975.34,1353.93,3927.44
2023-02-25,Zona Llanos,1793.86,170.52,142.53
2023-02-25,Zona Sur,752.01,390.97,4090.11
2023-02-25,Zona Oriente,973.2,2809.91,2141.82
2023-02-26,Zona Norte,7662.73,971.15,6791.37
2023-02-26,Zona Occidente,3392.93,596.9,4080.88
2023-02-26,Zona Llanos,549.94,4802.22,4655.04
2023-02-26,Zona Sur,1944.83,1765.71,192.95
2023-02-26,Zona Oriente,2980.65,1750.75,163.48
2023-02-27,Zona Norte,2568.96,542.37,3358.12
2023-02-27,Zona Occidente,5614.71,100.16,690.86
2023-02-27,Zona Llanos,23.05,4186.92,3306.24
2023-02-27,Zona Sur,1205.02,90.4,2441.7
2023-02-27,Zona Oriente,3121.18,1118.64,1671.6
2023-02-28,Zona Norte,3503.34,93.69,455.76
2023-02-28,Zona Occidente,497.37,25.76,280.82
2023-02-28,Zona Llanos,871.76,17.84,1991.24
2023-02-28,Zona Sur,6327.5,5098.27,10660.02
2023-02-28,Zona Oriente,3463.14,1107.57,1054.33
2023-03-01,Zona Norte,2697.52,2292.31,1810.23
2023-03-01,Zona Occidente,4480.84,379.06,3386.7
2023-03-01,Zona Llanos,2314.87,1664.19,2265.51
2023-03-01,Zona Sur,994.98,1819.85,83.87
2023-03-01,Zona Oriente,1956.05,412.08,3921.36
2023-03-02,Zona Norte,1034.85,508.11,3734.92
2023-03-02,Zona Occidente,2352.17,1805.11,1364.48
2023-03-02,Zona Llanos,7885.42,710.17,1294.37
2023-03-02,Zona Sur,310.95,170.66,2688.07
2023-03-02,Zona Oriente,6.31,2578.33,2665.98
2023-03-03,Zona Norte,2543.16,1706.61,385.41
2023-03-03,Zona Occidente,3886.93,1999.94,1022.96
2023-03-03,Zona Llanos,2752.29,1160.13,3189.42
2023-03-03,Zona Sur,282.95,629.67,2474.73
2023-03-03,Zona Oriente,1638.42,1142.38,3468.4
2023-03-04,Zona Norte,1942.26,3274.34,701.49
2023-03-04,Zona Occidente,234.43,19.36,2929.34
2023-03-04,Zona Llanos,5048.41,418.99,6245.99
2023-03-04,Zona Sur,5260.25,393.25,6628.86
2023-03-04,Zona Oriente,4077.95,2735.71,377.07
2023-03-05,Zona Norte,4824.54,934.7,4289.47
2023-03-05,Zona Occidente,4121.2,2201.67,3391.74
2023-03-05,Zona Llanos,168.27,1818.52,1478.94
2023-03-05,Zona Sur,1350.25,715.56,1249.57
2023-03-05,Zona Oriente,917.57,665.21,101.46
2023-03-06,Zona Norte,1400.43,84.15,2312.35
2023-03-06,Zona Occidente,5076.92,1754.12,1704.27
2023-03-06,Zona Llanos,1957.15,367.71,2624.63
2023-03-06,Zona Sur,536.68,2973.2,5732.79
2023-03-06,Zona Oriente,2994.64,297.33,730.65
2023-03-07,Zona Norte,3587.23,1826.89,1348.77
2023-03-07,Zona Occidente,2111.84,182.59,3247.54
2023-03-07,Zona Llanos,4765.08,1043.89,589.68
2023-03-07,Zona Sur,1069.55,247.29,4110.73
2023-03-07,Zona Oriente,2153.55,2835.11,5574.65
2023-03-08,Zona Norte,16.07,1132.5,490.82
2023-03-08,Zona Occidente,3300.53,4500.27,504.05
2023-03-08,Zona Llanos,5049.79,180.85,4247.75
2023-03-08,Zona Sur,1895.91,2306.36,2984.85
2023-03-08,Zona Oriente,7947.63,1576.83,9588.39
2023-03-09,Zona Norte,1374.04,670.83,5458.76
2023-03-09,Zona Occidente,687.42,24.74,2349.5
2023-03-09,Zona Llanos,1650.52,1824.07,239.9
2023-03-09,Zona Sur,4884.27,141.5,350.96
2023-03-09,Zona Oriente,2374.76,2267.18,2006.18
2023-03-10,Zona Norte,9292.42,2031.83,1247.73
2023-03-10,Zona Occidente,1840.05,308.21,9848.44
2023-03-10,Zona Llanos,3330.74,4285.42,3765.43
2023-03-10,Zona Sur,3068.99,1997.11,1083.57
2023-03-10,Zona Oriente,847.25,1176.83,1516.77
2023-03-11,Zona Norte,5549.08,2030.72,466.67
2023-03-11,Zona Occidente,286.29,966.08,1591.54
2023-03-11,Zona Llanos,3480.14,149.02,2126.68
2023-03-11,Zona Sur,797.03,1549.46,5690.3
2023-03-11,Zona Oriente,848.44,823.16,1049.39
2023-03-12,Zona Norte,11172.22,5226.51,3794.52
2023-03-12,Zona Occidente,1389.09,88.69,420.06
2023-03-12,Zona Llanos,2098.31,237.12,7535.91
2023-03-12,Zona Sur,3130.94,3125.33,3304.54
2023-03-12,Zona Oriente,1974.03,904.58,2891.19
2023-03-13,Zona Norte,3834.47,383.37,634.2
2023-03-13,Zona Occidente,78.15,669.79,4130.21
2023-03-13,Zona Llanos,3345.61,141.78,823.5
2023-03-13,Zona Sur,1161.87,1795.14,4892.59
2023-03-13,Zona Oriente,6266.41,4513.81,4616.37
2023-03-14,Zona Norte,2488.28,1290.27,8389.37
2023-03-14,Zona Occidente,500.29,1569.49,4568.02
2023-03-14,Zona Llanos,1010.91,529.36,1358.77
2023-03-14,Zona Sur,11871.78,1883.13,2138.75
2023-03-14,Zona Oriente,3896.35,3769.66,2950.17
2023-03-15,Zona Norte,6335.62,86.68,1933.27
2023-03-15,Zona Occidente,258.69,447.23,9996.21
2023-03-15,Zona Llanos,1212.05,5036.27,2478.61
2023-03-15,Zona Sur,8030.55,2984.1,865.79
2023-03-15,Zona Oriente,211.55,132.99,381.09
2023-03-16,Zona Norte,5086.89,1657.34,4069.01
2023-03-16,Zona Occidente,389.13,2840.15,1159.76
2023-03-16,Zona Llanos,6073.94,2403.81,7195.13
2023-03-16,Zona Sur,5032.15,328.92,5583.21
2023-03-16,Zona Oriente,810.53,1169.93,461.66
2023-03-17,Zona Norte,2519.48,502.39,1049.01
2023-03-17,Zona Occidente,3001.6,251.66,4430.87
2023-03-17,Zona Llanos,2452.77,2660.42,2288.09
2023-03-17,Zona Sur,1161.58,1112.62,2663.72
2023-03-17,Zona Oriente,1256.45,379.01,394.64
2023-03-18,Zona Norte,7601.72,2052.4,3822.48
2023-03-18,Zona Occidente,1064.71,1559.31,1228.11
2023-03-18,Zona Llanos,2146.02,532.4,5206.01
2023-03-18,Zona Sur,421.73,2006.71,320.27
2023-03-18,Zona Oriente,1593.89,1106.42,3416.84
2023-03-19,Zona Norte,149.16,2912.69,1970.67
2023-03-19,Zona Occidente,4638.37,327.2,576.5
2023-03-19,Zona Llanos,2005.73,1564.38,1903.57
2023-03-19,Zona Sur,1835.62,220.95,4601.9
2023-03-19,Zona Oriente,2573.09,1527.86,1817.6
2023-03-20,Zona Norte,1559.11,158.77,1125.66
2023-03-20,Zona Occidente,2300.19,555.13,2022.94
2023-03-20,Zona Llanos,4602.12,1579.05,2397.43
2023-03-20,Zona Sur,1309.03,2493.68,2063.02
2023-03-20,Zona Oriente,3190.95,517.19,6382.89
2023-03-21,Zona Norte,3561.62,92.37,4099.34
2023-03-21,Zona Occidente,618.7,2222.96,959.22
2023-03-21,Zona Llanos,1526.59,93.62,2137.21
2023-03-21,Zona Sur,3344.92,903.46,3953.63
2023-03-21,Zona Oriente,2135.45,1682.99,641.92
2023-03-22,Zona Norte,4113.87,297.5,175.87
2023-03-22,Zona Occidente,859.8,1686.26,5194.59
2023-03-22,Zona Llanos,2079.37,2128.02,4928.84
2023-03-22,Zona Sur,5623.33,1992.7,1341.08
2023-03-22,Zona Oriente,503.46,86.14,1163.63
2023-03-23,Zona Norte,6023.1,1921.14,2911.7
2023-03-23,Zona Occidente,1584.81,320.03,407.55
2023-03-23,Zona Llanos,1747.28,673.08,4443.45
2023-03-23,Zona Sur,2700.91,4947.52,4722
2023-03-23,Zona Oriente,2086.53,100.44,2002.06
2023-03-24,Zona Norte,2167.08,2040.04,566.31
2023-03-24,Zona Occidente,258.32,826.15,6825.06
2023-03-24,Zona Llanos,174.01,32.81,615.19
2023-03-24,Zona Sur,382.43,1446.01,847.67
2023-03-24,Zona Oriente,7659.63,2009,1337.26
2023-03-25,Zona Norte,241.73,776.21,3994.57
2023-03-25,Zona Occidente,1755.51,1991.65,3301.71
2023-03-25,Zona Llanos,3447.19,3062.38,1.12
2023-03-25,Zona Sur,4150.48,1065.8,10764.16
2023-03-25,Zona Oriente,7329.81,3153.76,130.48
2023-03-26,Zona Norte,9854.4,888.55,4282.66
2023-03-26,Zona Occidente,1484.99,2751.36,3474.24
2023-03-26,Zona Llanos,509.09,2498.66,5540.58
2023-03-26,Zona Sur,1356.03,2090.2,756.5
2023-03-26,Zona Oriente,2461.5,873.02,397.69
2023-03-27,Zona Norte,1558.17,1343.28,362.65
2023-03-27,Zona Occidente,764.92,499.74,7562.17
2023-03-27,Zona Llanos,4154.48,693.07,1106.23
2023-03-27,Zona Sur,4251.39,2438.62,1193.65
2023-03-27,Zona Oriente,1924.93,837.37,1701.43
2023-03-28,Zona Norte,2621.08,3583.58,1425.19
2023-03-28,Zona Occidente,2052.52,2723.67,1048.58
2023-03-28,Zona Llanos,4340.63,1225.96,4080.27
2023-03-28,Zona Sur,6212.51,510.28,3122.93
2023-03-28,Zona Oriente,5.74,1071.66,4589.87
2023-03-29,Zona Norte,5776.08,491.74,2562.76
2023-03-29,Zona Occidente,670.14,1122.93,4819.64
2023-03-29,Zona Llanos,809.31,69.05,93.34
2023-03-29,Zona Sur,728.27,2175.63,2035.01
2023-03-29,Zona Oriente,2955.61,1062.11,1216.49
2023-03-30,Zona Norte,5709.77,163.3,7714.16
2023-03-30,Zona Occidente,843.21,865.53,1285.52
2023-03-30,Zona Llanos,2243.19,487.81,4651.45
2023-03-30,Zona Sur,11.68,2605.61,1556.33
2023-03-30,Zona Oriente,6951.61,2515.34,1324.95
2023-03-31,Zona Norte,2096.21,875,1934.46
2023-03-31,Zona Occidente,673.97,2755.5,319.87
2023-03-31,Zona Llanos,8407.07,123.19,6680.79
2023-03-31,Zona Sur,1923.17,3393.89,10378.25
2023-03-31,Zona Oriente,6192.54,4238.94,83.42
2023-04-01,Zona Norte,300.72,148.6,2339.75
2023-04-01,Zona Occidente,2670.59,2038.2,1832.25
2023-04-01,Zona Llanos,6869.79,952.42,5220.55
2023-04-01,Zona Sur,194.53,1617.86,2560.04
2023-04-01,Zona Oriente,3150.06,1132.76,1200.6
2023-04-02,Zona Norte,2585.23,178.14,6200.38
2023-04-02,Zona Occidente,202.77,718.2,977.35
2023-04-02,Zona Llanos,2830.2,4820.23,1270.77
2023-04-02,Zona Sur,2526.45,124.82,1820.1
2023-04-02,Zona Oriente,8529.45,3128.51,4739.91
2023-04-03,Zona Norte,1452.78,1409.33,1415.07
2023-04-03,Zona Occidente,4946.26,723.37,483.12
2023-04-03,Zona Llanos,495.48,1053.94,3332.21
2023-04-03,Zona Sur,1717.2,371.94,5456.36
2023-04-03,Zona Oriente,2706.26,1100.71,462.36
2023-04-04,Zona Norte,696.88,1178.2,3298.68
2023-04-04,Zona Occidente,766.63,492.65,60.52
2023-04-04,Zona Llanos,979.3,162.02,3033.33
2023-04-04,Zona Sur,4724.08,2932.4,7730.65
2023-04-04,Zona Oriente,9996.38,4608.31,1541.92
2023-04-05,Zona Norte,1479.68,139.45,569.01
2023-04-05,Zona Occidente,8638.22,110.16,2773.5
2023-04-05,Zona Llanos,1731.23,866.65,1332.32
2023-04-05,Zona Sur,606.93,5395.6,5802.02
2023-04-05,Zona Oriente,438,919.56,1664.85
2023-04-06,Zona Norte,2238.87,252.33,9465.69
2023-04-06,Zona Occidente,2213.86,3630.93,915.93
2023-04-06,Zona Llanos,4361.08,258.31,824.95
2023-04-06,Zona Sur,1975.02,1120.85,111.66
2023-04-06,Zona Oriente,1043.08,115.04,1536.89
2023-04-07,Zona Norte,953.93,2153.73,744.67
2023-04-07,Zona Occidente,7975.96,337.25,1702.47
2023-04-07,Zona Llanos,2308.52,703.6,1994.12
2023-04-07,Zona Sur,4460.11,1235.28,579.36
2023-04-07,Zona Oriente,166.61,3118.95,9941.46
2023-04-08,Zona Norte,646.03,1137.54,780.48
2023-04-08,Zona Occidente,2374.52,278.82,4396.02
